gene	number	name	rules
ugt1a4	2	intermediate_metabolizer	>:0,<=:1,
ugt1a4	3	normal_metabolizer	>:1,<=:2,
ugt1a4	4	rapid_metabolizer	>:2,<=:2.5,
ugt1a4	5	ultrarapid_metabolizer	>:2.5,
ugt2b7	1	poor_metabolizer	==:0,
ugt2b7	2	intermediate_metabolizer	>:0,<=:1,
ugt2b7	3	normal_metabolizer	>:1,<=:2,
ugt2b7	4	rapid_metabolizer	>:2,<=:2.5,
ugt2b7	5	ultrarapid_metabolizer	>:2.5,
ugt2b15	1	poor_metabolizer	==:0,
ugt2b15	2	intermediate_metabolizer	>:0,<=:1,
ugt2b15	3	normal_metabolizer	>:1,<=:2,
ugt2b15	4	rapid_metabolizer	>:2,<=:2.5,
ugt2b15	5	ultrarapid_metabolizer	>:2.5,
ugt2b17	1	poor_metabolizer	==:0,
ugt2b17	2	intermediate_metabolizer	>:0,<=:1,
ugt2b17	3	normal_metabolizer	>:1,<=:2,
ugt2b17	4	rapid_metabolizer	>:2,<=:2.5,
ugt2b17	5	ultrarapid_metabolizer	>:2.5,
vkorc1	1	poor_metabolizer	==:0,
vkorc1	2	intermediate_metabolizer	>:0,<=:1,
vkorc1	3	normal_metabolizer	>:1,<=:2,
vkorc1	4	rapid_metabolizer	>:2,<=:2.5,
vkorc1	5	ultrarapid_metabolizer	>:2.5,
